Name,Character Id,Level,Power,Stars,Red Stars,Gear Tier,Basic,Special,Ultimate,Passive,ISO Class,ISO Matrix,Striker,Fortifier,Healer,Raider,Skirmisher,ISO Health,ISO Damage,ISO Armor,ISO Focus,ISO Resist
FOCUS TAHITI,ShieldSupport_Heal,70,110751,7,10,13,6,6,,5,healer,,,,3,,,3,3,3,3,3
FOCUS TAHITI,SpiderMan,90,265774,7,7,16,7,7,7,5,raider,purple,,,,10,,,,,,
FOCUS TAHITI,LukeCage,75,137248,7,7,14,6,6,6,5,healer,blue,,2,10,,,5,5,5,5,5
FOCUS TAHITI,Punisher,105,1474947,7,9,20,6,7,7,5,raider,purple,2,,,13,,3,3,3,3,3
FOCUS TAHITI,Elektra,100,921572,7,9,19,6,6,6,5,striker,purple,13,,,,3,3,3,3,3,3
FOCUS TAHITI,Crossbones,65,68859,6,6,12,6,6,6,4,healer,,,1,3,,,3,3,3,3,3
FOCUS TAHITI,ShieldDmg_AoE,40,12146,4,4,7,4,4,,2,striker,,1,,,,,1,1,1,1,1
FOCUS TAHITI,AmericaChavez,80,182777,7,7,15,6,7,6,4,striker,blue,10,,,,,5,5,5,5,5
FOCUS TAHITI,RavagerSupport_Heal,80,153620,7,7,15,6,6,,5,striker,blue,8,,,,,3,3,3,3,3
FOCUS TAHITI,Venom,98,546978,7,9,18,7,7,7,5,striker,purple,10,,,2,,,,,,
FOCUS TAHITI,RavagerTank_Taunt,80,151872,7,7,15,6,7,,4,skirmisher,blue,,,,,8,3,3,3,3,3
FOCUS TAHITI,MercTank_Debuff,80,135547,7,7,15,6,6,,4,fortifier,blue,,8,,,,3,3,3,3,3
FOCUS TAHITI,WinterSoldier,95,318429,7,7,16,6,6,7,4,striker,purple,10,,,,,,,,,
FOCUS TAHITI,Wolverine,100,629714,7,8,19,6,7,6,5,striker,purple,13,6,6,8,6,3,3,3,3,3
FOCUS TAHITI,MsMarvel,80,261027,7,7,15,6,6,6,5,skirmisher,blue,,1,2,,10,5,5,5,5,5
FOCUS TAHITI,Kingpin,80,181479,7,7,15,6,6,7,4,fortifier,blue,,10,,,,5,5,5,5,5
